label,auc,mean,std,rms,max,min,mean_deriv,std_deriv
clench,82.31416118144989,35.62762237762238,37.63998774659332,51.82756172005542,222,20,-0.3520140105078809,9.252466437290316
clench,94.4368108510971,45.49300699300699,41.06580451845797,61.286327888151256,253,25,0.0,4.050037296319156
clench,100.86703431606293,51.70494699646643,44.81938086723509,68.42644551070647,302,24,0.01415929203539823,4.9047361481114
clench,157.62802684307098,65.13309352517986,56.397805825589465,86.15702161809402,254,27,-0.009009009009009009,6.513596998954088
clench,166.740678191185,68.86428571428571,68.08885588639573,96.84204739087842,300,27,-0.016100178890876567,7.348086421507489
clench,177.4055768251419,50.41297297297297,51.02637626703679,71.72976313162424,436,24,0.009194159004867496,5.751988096553851
clench,173.90739929676056,54.63148936170213,48.776899266324016,73.23786952058951,320,28,-0.002555366269165247,4.556384622654027
clench,179.85177755355835,62.04059405940594,53.966980513881886,82.22816000026818,401,29,0.0009910802775024777,6.567406003468204
clench,167.94201576709747,55.088682432432435,43.21938543429406,70.01912745428537,271,24,0.00253592561284869,4.698068198183022
clench,165.8126550912857,57.57085427135679,44.741712741794046,72.91244146648098,282,30,-0.012072434607645875,5.220091113976268
clench,166.30490100383759,60.03963414634146,52.54846247807104,79.78783476969264,367,31,-0.001017293997965412,5.397618157376859
clench,185.7259383201599,61.58596837944664,49.436423826386175,78.97335944466516,305,31,0.002967359050445104,5.663057362618488
clench,191.9974172115326,67.21937639198218,64.77144830420292,93.34765705657,408,31,0.011148272017837236,6.278725605208995
clench,168.32800614833832,60.651591289782246,39.17474768172424,72.2030219721415,274,33,0.002514668901927913,4.693541464640123
clench,162.86091446876526,62.61226611226611,37.38639583893096,72.92488232104637,240,32,-0.012486992715920915,5.011313958652215
clench,136.5519998073578,54.04978354978355,53.33090879861774,75.93131722197985,318,21,-0.02275189599133261,5.332348002737761
clench,121.01017999649048,36.45809523809524,44.35807390071627,57.418040967725716,228,21,0.0009532888465204957,4.422298019990099
clench,119.46016490459442,35.53923357664234,48.757484106000604,60.33514216078424,325,21,0.0009132420091324201,4.522798572625815
clench,117.26101219654083,37.30695187165775,51.018638775192926,63.203719514185295,318,21,0.0010706638115631692,4.500892004066053
clench,104.82560431957245,34.625786163522015,42.85291755086159,55.09371661145119,268,21,0.05141657922350472,4.32354647619443
clench,94.02724730968475,31.86327782646801,29.10295832851798,43.15380235064046,203,21,-0.04035087719298246,2.6767589494342636
clench,89.44016873836517,31.706971677559913,32.66520230446752,45.52304355547174,202,21,0.0010905125408942203,2.8270771519355704
clench,95.32062530517578,32.510160427807484,34.5119006596281,47.41288662570354,240,20,-0.0010706638115631692,3.744374642860768
clench,96.97352361679077,32.61058201058201,37.28532477499167,49.534286132390186,233,20,0.0,4.048697216703464
clench,93.54320096969604,31.57861635220126,35.819846866396006,47.752177335191455,268,20,-0.001049317943336831,3.716190569815801
clench,82.43730092048645,29.70509125840538,26.94742565246681,40.106809845279614,206,20,0.0009615384615384616,3.0033633451742223
clench,101.95203530788422,33.99130434782609,49.20001248712707,59.800083611981684,397,20,0.0,5.307723241327569
clench,93.02155840396881,32.0377358490566,42.604402248934875,53.30620610513352,309,20,0.0011111111111111111,4.444347082266901
clench,89.1470274925232,32.94038929440389,46.87188210653107,57.28911396657681,369,20,0.001218026796589525,5.44522036521843
clench,95.7904806137085,34.57799274486094,45.24432823644371,56.944594298587404,290,20,0.0012106537530266344,4.649845579115522
clench,77.31404507160187,29.6558516801854,31.529617629935448,43.28494341878122,219,21,-0.001160092807424594,3.031734481680369
clench,93.50952100753784,32.78760045924225,36.032701471003556,48.71737184181187,219,20,0.0,3.541867810380124
clench,104.72152435779572,35.577283372365336,43.177082123772315,55.94643431784158,253,20,0.0011723329425556857,4.708501555941768
clench,116.8597241640091,38.625149700598804,47.634859572948,61.32684596429319,247,20,0.001199040767386091,3.9309079016946953
clench,105.8078863620758,35.68930957683742,44.67103610849666,57.177165766396215,275,21,-0.0011148272017837235,4.151667390812812
clench,95.88211190700531,34.10495283018868,34.81104078270476,48.73352406633988,195,21,0.0011806375442739079,3.2318878322562887
clench,106.95643031597137,37.866515837104075,43.93148523152773,57.99869322915468,310,21,0.0,4.220427055406991
clench,91.2362310886383,33.3448275862069,33.92301208778791,47.56730259182319,208,21,0.0,3.297661060434377
clench,97.07404124736786,34.730679156908664,34.88186916571773,49.223621069506656,199,21,0.0,3.0223861911400243
clench,100.96399247646332,34.31969860064586,40.81233864268313,53.32437245316835,270,21,0.0010775862068965517,4.0464702213906225
clench,102.18726217746735,35.53438556933484,40.33323287877338,53.753718310862155,242,21,0.0,3.513598221267852
clench,125.88945126533508,39.767391304347825,47.21438411234177,61.730409671902144,236,21,0.002176278563656148,4.229282300639376
clench,113.67941355705261,36.21272365805169,43.81456584352784,56.84256798202605,252,21,-0.0009950248756218905,3.437139705945076
clench,97.44042432308197,34.43559718969555,34.961068308089445,49.072259485924064,197,21,0.0,3.535782586558997
clench,113.54973077774048,38.74730538922156,45.529981981175204,59.785725170242245,254,21,0.001199040767386091,4.389736066663132
clench,104.94963681697845,36.48105625717566,34.83372736178717,50.44061882604669,179,21,0.006896551724137931,2.7630481711680317
clench,74.94542753696442,32.87323943661972,19.27044703536143,38.1051177665153,136,21,-0.0030211480362537764,2.371998222072371
clench,87.31994438171387,33.33441558441559,28.12775557610965,43.6159821178418,209,21,-0.0021668472372697724,3.3327547529060566
clench,74.84912776947021,29.301734104046243,21.395700702561175,36.281780965903586,155,20,0.0,2.3702437755546484
clench,90.65045404434204,33.26590909090909,30.44443107145316,45.09416914534617,181,21,-0.0011376564277588168,3.17179672999533
clench,70.31783103942871,28.49158249158249,21.21020567482663,35.519615674203145,157,21,0.0022471910112359553,2.3043670084609182
clench,75.80770230293274,30.158675799086758,25.985923131307416,39.80972151297519,188,21,0.001142857142857143,2.4281677647719384
clench,70.27536308765411,28.4340206185567,22.55815570895071,36.29550822795809,195,21,-0.0020639834881320948,2.6961723952991954
clench,74.61548507213593,30.047018348623855,27.965884201704576,41.0477038435244,242,21,0.001148105625717566,2.988112469948041
clench,82.52788805961609,31.16590909090909,37.32878759435488,48.628718600506765,314,21,0.0,3.676014560487924
clench,94.42078733444214,33.64026402640264,41.338860568593425,53.2969863770522,316,21,-0.0022026431718061676,4.161655729186997
clench,83.04639506340027,32.1063829787234,35.194403212560175,47.63891104406907,275,20,0.0011210762331838565,3.9002412939791085
clench,76.95965421199799,29.22774327122153,24.87105247099197,38.377470314538336,185,20,0.0,2.5728756517117155
clench,90.49871110916138,35.96631578947368,31.806767272411225,48.01298070094663,234,20,-0.001053740779768177,3.7787881915064965
clench,107.76040780544281,35.27982646420824,49.22818405099907,60.56467832246521,382,20,0.0010857763300760044,6.428678190170411
clench,97.08487224578857,35.51598173515982,36.300980153561355,50.785294315593575,287,21,0.0034285714285714284,3.910862486428678
clench,71.84534454345703,31.237485448195578,18.229986968621176,36.16784375660689,149,21,0.0034965034965034965,2.3372401967207526
clench,80.15750074386597,33.09756097560975,21.565900000501898,39.503627496292715,149,21,-0.006659267480577136,2.441311133238277
clench,97.3824588060379,34.789846517119244,31.2629966868477,46.772944984537425,189,20,0.008274231678486997,3.217296282109772
clench,96.35063564777374,36.457817772778405,31.37348346540745,48.09852327782332,200,22,0.0,3.2096420052401173
clench,107.77617180347443,38.42219804134929,37.87894047936013,53.95441996878081,257,22,-0.0032679738562091504,4.652990019087995
clench,83.14773321151733,33.98669623059867,23.709060650610592,41.43929388400967,209,23,0.0011098779134295228,3.0889511472220836
clench,105.38834130764008,38.2467248908297,36.04228230464614,52.55338313184623,276,22,0.001092896174863388,4.285571026614445
clench,79.20467960834503,32.20829220138204,20.8351554401855,38.35984604695772,200,23,-0.001976284584980237,2.848617313755587
clench,109.20988929271698,39.713641488162345,37.00716382913489,54.28354718445286,247,23,0.0056433408577878106,3.97324173292786
clench,94.94419693946838,36.508620689655174,28.114527380371182,46.07934498756204,162,23,-0.006472491909385114,3.313527106041048
clench,130.386834025383,38.52963525835866,42.311605005057956,57.225909440097155,265,23,0.0038022813688212928,3.8723923877899833
clench,59.07246434688568,28.11700515307669,17.416138091532055,33.073975340159144,243,21,-0.0009096422073984233,1.8654723380388913
clench,64.65332424640656,33.33571923343339,38.03216524495701,50.57386449570585,439,20,0.0,3.940375475948322
clench,105.16247129440308,37.224330357142854,39.531236372078595,54.298889672283885,239,21,-0.0033519553072625698,3.9447284594942933
clench,98.7386634349823,36.01516793066089,38.42243650423489,52.662851688791655,259,20,-0.0032537960954446853,4.675012062648921
clench,106.68768334388733,35.87750556792873,42.08897307320378,55.305307703091486,292,20,0.002229654403567447,4.1094278776079145
clench,89.66965675354004,32.33476394849785,35.66299631956552,48.13923832067164,229,20,-0.00322234156820623,3.4356115584935147
clench,77.80080151557922,29.6248574686431,29.18660870725326,41.58714113602582,236,20,0.0,3.0007609385030425
clench,77.51374292373657,30.351522842639593,30.706479007058096,43.17525670888562,213,20,0.0,3.144952188726783
clench,86.43930959701538,30.95987328405491,32.35648966803392,44.782319919833576,220,20,0.0,3.1592677182942626
clench,92.92903709411621,32.55195530726257,39.02878659819712,50.822002889040405,249,20,0.0011185682326621924,3.9401278215209823
clench,114.95508861541748,40.47396963123644,53.096767095549964,66.76382923192264,352,20,0.004343105320304018,6.3171674327224885
clench,81.99852848052979,31.98701298701299,26.550943595957616,41.57068204476636,174,20,-0.002364066193853428,2.5292602736291117
clench,101.98925495147705,37.35085574572127,36.8107946390347,52.441596341977096,199,21,0.0,3.373886325163982
clench,98.80830514431,36.51449275362319,38.891072117430554,53.34626201991649,244,21,0.0036275695284159614,3.723351768031368
clench,120.755455493927,43.96024096385542,51.598889592420996,67.78604718355456,321,21,-0.0048250904704463205,4.5755922315880095
